0 41 0 0 41 21 0 0 0 0 0 0 0 0 0 0 41 21 0 0 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
61 0 41 0 21 41 21 0 0 0 0 0 0 0 0 0 21 41 21 0 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 61 0 41 0 21 41 21 0 0 0 0 0 0 0 0 0 21 41 21 0 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 61 0 0 0 21 41 0 0 0 0 0 0 0 0 0 0 21 41 0 0 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
61 41 0 0 0 41 0 0 41 21 0 0 0 0 0 0 21 21 0 0 41 21 0 0 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
41 61 41 0 61 0 41 0 21 41 21 0 0 0 0 0 21 21 21 0 21 41 21 0 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 41 61 41 0 61 0 41 0 21 41 21 0 0 0 0 0 21 21 21 0 21 41 21 0 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 41 61 0 0 61 0 0 0 21 41 0 0 0 0 0 0 21 21 0 0 21 41 0 0 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 61 41 0 0 0 41 0 0 41 21 0 0 0 0 0 0 21 21 0 0 41 21 0 0 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 41 61 41 0 61 0 41 0 21 41 21 0 0 0 0 0 21 21 21 0 21 41 21 0 21 21 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
